MsgRef,OrderGroup,OrderNo,OrderRef,OrderSeq,ACCode,SCTYCode,stock_name,OrderSide,OrderType,OrderQty,OrderPrice,OrderStatus,OrderTime,donePrice,doneQty,ReducedQty,RejectedQty,outQty,MsgText,AECode,Inputer,Channel,IPAddress,BCAN
3913,INPUT,78239686,78239686,84299010,M9136,3337,安東油田服務,A,E,20000,1.23,O,2025-10-09 09:30:52.050,0,0,0,0,20000,,CK489,CK489,SATS,192.168.3.66,AAG460.1002161
4003,INPUT,78239778,78239778,128755202,M57509,175,吉利汽車,A,E,2000,19.63,F,2025-10-09 09:31:31.510,19.63,2000,0,0,0,,CK489,MCAMS,MCAMS,ATS,AAG460.1052019
4149,INPUT,78239926,78239926,209821953,M57727,358,江西銅業股份,A,E,6000,34.7,F,2025-10-09 09:32:45.270,34.7,6000,0,0,0,,CK489,CK489,SATS,192.168.3.66,AAG460.1006710
4653,INPUT,78240439,78240439,,M57727,358,江西銅業股份,B,E,3000,34.7,X,2025-10-09 09:37:24.237,0,0,0,3000,0,2081 Warning! Price 41 S from nominal. Please check.,CK489,CK489,SATS,192.168.3.66,AAG460.1006710
4669,INPUT,78240456,78240456,501979393,M57727,358,江西銅業股份,B,E,3000,34.7,C,2025-10-09 09:37:34.053,0,0,3000,0,0,,CK489,CK489,SATS,192.168.3.66,AAG460.1006710
4968,INPUT,78240760,78240760,589711875,P88929,2208,金風科技,A,E,10000,15.15,F,2025-10-09 09:40:28.227,15.15,10000,0,0,0,,CK489,CK489,SATS,192.168.3.66,AAG460.1006629
5389,INPUT,78241187,78241187,767964931,M57509,981,中芯國際,A,E,500,89.2,F,2025-10-09 09:44:24.633,89.2,500,0,0,0,,CK489,MCAMS,MCAMS,ATS,AAG460.1052019
5397,INPUT,78241196,78241196,851378945,M57727,358,江西銅業股份,B,E,6000,37.12,C,2025-10-09 09:44:35.153,0,0,6000,0,0,,CK489,CK489,SATS,192.168.3.66,AAG460.1006710
5411,MODIFY,78241210,78241196,857210881,M57727,358,江西銅業股份,B,E,6000,37.2,F,2025-10-09 09:44:43.583,37.2,6000,0,0,0,,CK489,CK489,SATS,192.168.3.66,AAG460.1006710
5427,CANCEL,78241226,78240456,501979393,M57727,358,江西銅業股份,B,E,0,34.7,C,2025-10-09 09:44:52.850,0,0,3000,0,0,,CK489,CK489,SATS,192.168.3.66,NULL
5485,INPUT,78241285,78241285,827226626,M57509,3330,靈寶黃金,B,E,6000,20.9,F,2025-10-09 09:45:31.610,20.9,6000,0,0,0,,CK489,MCAMS,MCAMS,ATS,AAG460.1052019
5615,INPUT,78241419,78241419,957943041,M57509,9988,阿里巴巴－Ｗ,A,E,200,173.3,F,2025-10-09 09:46:49.910,173.3,200,0,0,0,,CK489,MCAMS,MCAMS,ATS,AAG460.1052019
5642,INPUT,78241446,78241446,982059009,M57727,9988,阿里巴巴－Ｗ,A,E,200,173.3,F,2025-10-09 09:47:11.790,173.3,200,0,0,0,,CK489,CK489,SATS,192.168.3.66,AAG460.1006710
6011,INPUT,78241819,78241819,1057630210,M57509,7552,ＸＩ二南方恒科,B,E,20000,1.108,F,2025-10-09 09:51:04.303,1.108,20000,0,0,0,,CK489,MCAMS,MCAMS,ATS,AAG460.1052019
6081,INPUT,78241890,78241890,1228325633,M57727,2259,紫金黃金國際,A,E,700,139.4,F,2025-10-09 09:51:42.367,139.4,700,0,0,0,,CK489,CK489,SATS,192.168.3.66,AAG460.1006710
6546,INPUT,78242364,78242364,1471674625,M57509,2259,紫金黃金國際,B,E,100,138.2,F,2025-10-09 09:56:32.927,138.2,100,0,0,0,,CK489,MCAMS,MCAMS,ATS,AAG460.1052019
